propertyId,price,localityName,carpetArea,coveredArea,floorNumber,totalFloorNumber,bedrooms,bathrooms,ReservedParking,transactionType,furnished,ageofcons
71065191,12500000,Wagholi,1333,1775,13,14,3,3,True,Resale,Unfurnished,New Construction
57867977,6679000,Hinjewadi,667,900,2,12,2,2,True,New Property,Unfurnished,Under Construction
75223023,35500000,NIBM Road,2350,3290,9,24,4,5,True,New Property,Unfurnished,Under Construction
73036629,69500000,Kalyani Nagar,2779,3700,5,9,4,6,True,Resale,Semi-Furnished,5 to 10 years
75602565,15500000,"Pimple Saudagar, Pimpri Chinchwad",1200,1500,2,12,3,3,True,Resale,Unfurnished,5 to 10 years
75902575,19500000,Wanowrie,1260,1600,8,11,3,3,True,Resale,Semi-Furnished,10 to 15 years
49107311,4500000,Sus,639,856,2,6,2,2,True,Resale,Unfurnished,Less than 5 years
75677621,2500000,Hadapsar,540,750,7,10,1,1,True,Resale,Unfurnished,Less than 5 years
74893085,3400000,Kondhwa,536,725,4,5,2,1,True,Resale,Semi-Furnished,Less than 5 years
75968083,4700000,Dhayari,765,1012,4,7,2,2,True,Resale,Unfurnished,New Construction
76028871,15500000,Magarpatta,980,1050,8,11,2,2,True,Resale,Semi-Furnished,10 to 15 years
63720675,2600000,Shivane,446,621,6,5,1,1,True,Resale,Unfurnished,Less than 5 years
74460059,11900000,Tathawade Pimpri Chinchwad,1058,1927,25,27,3,3,True,Resale,Unfurnished,Under Construction
75657867,22500000,Kothrud,1094,1520,8,10,3,3,False,Resale,Furnished,Less than 5 years
75677119,4000000,Dhayari,585,812,4,5,2,2,True,Resale,Furnished,Less than 5 years
75707873,17500000,Balewadi,1271,1765,21,23,3,3,True,Resale,Semi-Furnished,Less than 5 years
70744963,4950000,"Punawale, Pimpri Chinchwad",720,972,5,12,2,2,True,New Property,Unfurnished,Under Construction
72314941,7000000,"Punawale, Pimpri Chinchwad",720,1040,9,12,3,2,True,New Property,Unfurnished,Under Construction
68146673,4800000,Viman Nagar,357,500,4,10,1,1,False,Resale,Unfurnished,Less than 5 years
75664339,2800000,"Mamurdi, Dehu Road",600,834,7,7,2,2,False,Resale,Unfurnished,5 to 10 years
74879143,6700000,Hinjewadi,690,942,10,14,2,2,True,Resale,Unfurnished,New Construction
73273467,11498831,Maan,1085,1519,24,25,3,3,True,New Property,Unfurnished,Under Construction
72211939,16000000,NIBM Road,1095,1450,8,9,3,3,True,Resale,Semi-Furnished,5 to 10 years
72900371,17810778,Balewadi,1282,1859,17,26,3,3,True,New Property,Unfurnished,Under Construction
76050339,17500000,NIBM Road,1754,2350,8,12,3,3,True,Resale,Unfurnished,5 to 10 years
72868677,8874000,Tathawade Pimpri Chinchwad,736,1020,14,24,2,2,True,New Property,Unfurnished,Under Construction
75707903,1800000,Talegaon Dabhade,426,591,1,4,1,1,True,Resale,Unfurnished,Less than 5 years
74847223,3300000,Narhe,632,875,3,5,1,1,True,Resale,Unfurnished,Less than 5 years
75464287,7500000,"Marunji, Hinjewadi",820,1394,12,22,2,2,True,Resale,Unfurnished,Less than 5 years
75702121,6000000,Bavdhan,687,954,2,11,2,2,False,Resale,Unfurnished,New Construction
73026209,17500000,Bavdhan,1400,1890,12,22,3,3,True,Resale,Unfurnished,New Construction
71041851,2750000,Chakan,393,548,5,11,1,1,False,Resale,Unfurnished,New Construction
74803523,22200000,Kondhwa,1900,2500,5,7,3,4,True,Resale,Semi-Furnished,10 to 15 years
76018919,2000000,Jambhul,386,511,4,4,2,2,True,Resale,Unfurnished,Less than 5 years
68963935,12525000,Wakad,1085,1380,9,10,3,3,True,New Property,Unfurnished,Under Construction
75646889,6000000,"EON Free Zone, Kharadi",500,614,7,11,1,1,True,Resale,Semi-Furnished,Less than 5 years
63854575,60000000,Viman Nagar,3800,4216,1,5,5,5,True,Resale,Furnished,5 to 10 years
75703973,9000000,Kharadi,726,1008,14,15,2,2,True,Resale,Unfurnished,Under Construction
68536273,5000000,Jambhul,1218,1600,4,5,4,3,True,Resale,Semi-Furnished,5 to 10 years
75507443,8500000,Hinjewadi,850,1050,4,28,2,2,True,Resale,Unfurnished,10 to 15 years
75228289,5100000,Undri,635,850,14,13,2,2,True,Resale,Unfurnished,New Construction
75340793,20000000,Hinjewadi,1331,1800,14,23,3,3,True,Resale,Unfurnished,Less than 5 years
75680975,3700000,Mundhwa,443,615,4,11,1,1,True,Resale,Semi-Furnished,Less than 5 years
69349731,9000000,Keshav Nagar Mundhwa,803,1123,10,22,2,2,True,New Property,Unfurnished,Under Construction
75909277,5700000,Katraj,800,820,11,11,2,2,True,Resale,Unfurnished,Less than 5 years
74494785,54900000,Bhoslenagar Ashok Nagar,2054,2750,1,26,3,4,True,Resale,Semi-Furnished,New Construction
74913017,13500000,"Pimple Saudagar, Pimpri Chinchwad",808,1087,8,11,2,2,True,Resale,Unfurnished,5 to 10 years
72637001,83500000,Magarpatta,4000,5300,9,20,4,4,True,New Property,Unfurnished,New Construction
75689325,4000000,Kirkatwadi,646,897,1,5,2,2,True,Resale,Semi-Furnished,Less than 5 years
74481495,7500000,Tathawade Pimpri Chinchwad,671,900,12,12,2,2,True,Resale,Unfurnished,Less than 5 years
72325609,8700000,Mundhwa,784,1120,5,15,2,2,True,New Property,Semi-Furnished,Under Construction
71852473,17500000,Joggers Park,880,1185,2,7,2,2,True,Resale,Unfurnished,15 to 20 years
72381229,11000000,Baner,922,1091,3,10,3,3,True,Resale,Unfurnished,5 to 10 years
74387091,6500000,"Punawale, Pimpri Chinchwad",770,970,8,13,2,2,True,New Property,Unfurnished,Under Construction
70858331,10500000,"Pimple Saudagar, Pimpri Chinchwad",1200,1500,0,6,3,3,True,Resale,Unfurnished,10 to 15 years
68195079,3100000,Fursungi,467,650,7,10,1,1,True,Resale,Semi-Furnished,Less than 5 years
75351111,19075000,Baner,1397,1526,9,22,3,3,True,New Property,Unfurnished,Under Construction
74375879,7800000,Bhagwan Tatyasaheb Kawade Road,767,1031,3,5,2,2,True,Resale,Furnished,Less than 5 years
72672299,6200000,Moshi,955,1200,6,5,2,2,True,Resale,Unfurnished,5 to 10 years
73589561,8500000,Magarpatta,751,1051,11,16,2,2,True,New Property,Unfurnished,New Construction
75672107,2850000,Lohegaon,394,547,2,3,1,1,True,Resale,Semi-Furnished,5 to 10 years
75450959,14000000,Balewadi,1109,1497,14,30,3,3,True,New Property,Semi-Furnished,Under Construction
73922135,1900000,Talegaon Dhamdhere,444,600,3,3,2,1,True,Resale,Unfurnished,Less than 5 years
73820001,5300000,"Nigdi, Pimpri Chinchwad",500,550,3,5,1,1,True,Resale,Unfurnished,10 to 15 years
74048237,15000000,Pashan,1300,1800,5,11,3,3,True,Resale,Unfurnished,5 to 10 years
68146603,8500000,Pimpri Chinchwad,852,1147,6,7,2,2,False,Resale,Semi-Furnished,Less than 5 years
72712997,14110000,Bavdhan,1241,1700,14,23,3,3,True,New Property,Unfurnished,Under Construction
74401245,11000000,Tathawade Pimpri Chinchwad,1100,1200,17,21,3,3,True,New Property,Unfurnished,Under Construction
74442379,4000000,NIBM Road,681,930,10,14,2,2,True,New Property,Unfurnished,New Construction
73611211,4600000,Ambegaon,511,710,9,10,1,1,True,Resale,Semi-Furnished,5 to 10 years
71178199,164000000,Koregaon Park,5850,7800,3,20,4,5,True,Resale,Furnished,Less than 5 years
72528577,7000000,Hadapsar,759,1020,5,5,2,2,True,Resale,Furnished,10 to 15 years
75605305,6000000,Hinjewadi,635,850,3,8,2,2,True,Resale,Unfurnished,Less than 5 years
70174185,2800000,Vadgaon,532,720,3,5,2,1,True,Resale,Unfurnished,Less than 5 years
74469721,23000000,Bavdhan,1750,3092,21,30,4,4,True,Resale,Unfurnished,Under Construction
75691911,5800000,Ambegaon,792,1100,2,5,2,2,True,Resale,Unfurnished,Less than 5 years
70514449,20000000,Hinjewadi,1450,1500,5,20,3,3,True,New Property,Unfurnished,Under Construction
63150623,80000000,Baner,3400,4300,5,14,4,4,True,Resale,Furnished,Less than 5 years
74086307,10246500,"EON Free Zone, Kharadi",850,1150,6,33,2,2,True,New Property,Unfurnished,Under Construction
68143501,10000000,Baner,952,1283,7,10,2,2,False,Resale,Furnished,Less than 5 years
75784577,8500000,Kondhwa,952,1156,5,6,2,2,True,Resale,Semi-Furnished,10 to 15 years
75657525,8480000,Wakad,784,1089,6,7,2,2,True,Resale,Unfurnished,5 to 10 years
68192945,4500000,Kondhwa,548,750,2,6,1,2,True,Resale,Unfurnished,Less than 5 years
70332193,18500000,Baner,1210,1630,4,14,3,3,True,Resale,Semi-Furnished,New Construction
75261961,5517800,"Ravet, Pimpri Chinchwad",850,1174,8,20,2,2,True,New Property,Unfurnished,New Construction
68187307,18200000,Kharadi,1400,1912,7,11,3,3,True,Resale,Semi-Furnished,5 to 10 years
75576993,6500000,Hinjewadi,680,960,9,14,2,2,True,Resale,Unfurnished,New Construction
75955191,5195600,Handewadi,645,838,5,12,2,2,False,New Property,Unfurnished,Under Construction
67017435,7200000,"Punawale, Pimpri Chinchwad",700,900,3,10,2,2,True,Resale,Unfurnished,5 to 10 years
75035247,19000000,Baner,1270,1650,6,11,3,3,True,Resale,Semi-Furnished,5 to 10 years
32499133,2600000,Ambegaon,517,700,5,5,2,1,True,Resale,Unfurnished,Less than 5 years
75666031,8000000,Hadapsar,799,1110,9,13,2,2,False,Resale,Semi-Furnished,5 to 10 years
74636119,5000000,Undri,760,960,11,10,2,2,True,New Property,Unfurnished,Less than 5 years
73702399,6500000,Mohammed Wadi,723,939,6,11,2,2,True,Resale,Unfurnished,10 to 15 years
75496731,15500000,Koregaon Park,950,1150,5,6,2,2,True,Resale,Furnished,5 to 10 years
76008329,13000000,Baner,1026,1385,5,10,2,2,True,Resale,Semi-Furnished,5 to 10 years
75704407,9500000,Keshav Nagar Mundhwa,904,1256,2,11,3,2,True,Resale,Unfurnished,5 to 10 years
74245349,14499000,Mundhwa,1312,1759,12,25,3,3,True,New Property,Unfurnished,Under Construction
75574603,6800000,Shankar Kalat Nagar,690,850,4,12,2,2,True,Resale,Unfurnished,5 to 10 years
73759567,8000000,"Ravet, Pimpri Chinchwad",774,1040,3,13,2,2,True,Resale,Semi-Furnished,New Construction
75681139,5500000,"Chikhali, Pimpri Chinchwad",637,885,5,7,2,2,True,Resale,Furnished,Less than 5 years
73640767,13500000,Wakad,954,1175,23,23,3,2,True,New Property,Unfurnished,Under Construction
75977283,5500000,Wagholi,923,923,7,11,2,2,True,Resale,Unfurnished,5 to 10 years
74745777,4400000,Wagholi,617,833,6,12,2,2,True,New Property,Unfurnished,New Construction
75660721,4500000,Dhayari,567,788,1,7,2,2,True,Resale,Unfurnished,10 to 15 years
74735757,7400000,Mohammed Wadi,790,1027,8,16,2,2,True,Resale,Unfurnished,New Construction
75695177,3300000,"Mamurdi, Dehu Road",615,854,5,8,2,2,True,Resale,Unfurnished,Less than 5 years
75695839,12500000,Baner,810,1125,5,14,3,3,True,Resale,Unfurnished,New Construction
73961007,9000000,Manjri,691,905,14,24,2,2,True,Resale,Furnished,New Construction
75703085,4400000,Katraj,598,830,7,11,2,2,False,Resale,Unfurnished,New Construction
73919423,6500000,Hinjewadi,695,905,0,21,2,2,True,Resale,Semi-Furnished,Less than 5 years
75671665,2400000,Chakan,490,680,5,7,1,1,True,Resale,Semi-Furnished,Less than 5 years
73775401,8402400,Mundhwa,850,1200,5,12,2,2,True,New Property,Unfurnished,Under Construction
70465347,20500000,Aundh,1300,1800,3,7,3,3,True,Resale,Furnished,5 to 10 years
75304211,18500000,"EON Free Zone, Kharadi",1420,1655,3,12,2,2,True,Resale,Unfurnished,5 to 10 years
75072397,45000000,NIBM Road,6231,7000,0,12,4,4,True,Resale,Unfurnished,New Construction
75688531,6000000,Kondhwa,684,950,5,7,2,2,True,Resale,Unfurnished,Less than 5 years
75659547,8000000,Undri,1058,1469,5,12,3,3,True,Resale,Unfurnished,Less than 5 years
75507131,12000000,Wakad,1000,1156,13,20,2,2,True,Resale,Unfurnished,Less than 5 years
75865019,7500000,Hinjewadi,800,1000,11,22,2,2,True,Resale,Unfurnished,Less than 5 years
75345107,9200000,Dhanori,1037,1500,6,7,3,3,True,New Property,Unfurnished,Under Construction
75567263,4000000,Charholi BK,465,650,5,9,1,2,True,Resale,Unfurnished,Less than 5 years
73052917,7474000,Hinjewadi,726,1010,11,20,2,2,True,New Property,Furnished,Under Construction
75843681,2200000,Hadapsar,284,400,5,4,1,1,True,Resale,Unfurnished,Less than 5 years
63931279,2700000,Sus,394,550,6,5,1,1,True,Resale,Semi-Furnished,Less than 5 years
75967867,25744000,"Model Colony, Shivaji Nagar",1211,1609,5,7,3,3,True,New Property,Unfurnished,New Construction
75696351,2050000,Kanhe,360,500,5,7,1,1,True,Resale,Unfurnished,New Construction
75074253,2800000,Talegaon Dabhade,443,617,3,13,1,1,True,Resale,Unfurnished,Less than 5 years
73878691,11100000,Wakad,1077,1453,10,13,3,3,True,New Property,Unfurnished,Under Construction
75667601,4660000,Moshi,684,950,7,7,2,2,True,Resale,Unfurnished,Less than 5 years
70424211,12500000,Moshi,1151,1612,7,11,3,2,True,New Property,Unfurnished,Under Construction
75674617,2100000,Chakan,382,530,2,4,1,1,True,Resale,Unfurnished,Less than 5 years
76005285,25000000,"EON Free Zone, Kharadi",1750,2200,8,14,3,3,True,Resale,Semi-Furnished,Less than 5 years
75348559,11000000,Park Street,1050,1260,4,7,2,2,True,Resale,Semi-Furnished,5 to 10 years
75686971,2200000,Chakan,446,620,1,9,1,1,True,Resale,Semi-Furnished,Less than 5 years
74166795,36000000,"EON Free Zone, Kharadi",1661,2293,28,32,3,3,True,Resale,Semi-Furnished,Less than 5 years
57819015,9321000,Balewadi,830,1120,1,34,2,2,True,New Property,Unfurnished,Under Construction
72395521,10000000,Wanowrie,928,1160,4,5,2,2,True,Resale,Unfurnished,15 to 20 years
74209683,12944951,Tathawade Pimpri Chinchwad,1207,1629,12,23,3,3,True,New Property,Unfurnished,Under Construction
74102379,13000000,Baner,1056,1470,9,12,3,3,True,Resale,Semi-Furnished,5 to 10 years
75673563,3800000,Narhe,473,657,3,12,1,1,False,Resale,Unfurnished,Less than 5 years
75704569,17900000,Erandwane,916,1272,1,4,2,2,True,Resale,Unfurnished,Less than 5 years
75385715,7500000,Keshav Nagar Mundhwa,740,1050,2,11,2,2,True,Resale,Unfurnished,Less than 5 years
71714609,5500000,Hadapsar,870,1155,4,8,2,2,True,Resale,Unfurnished,5 to 10 years
71937249,3600000,Dhayari,357,500,5,4,1,1,False,Resale,Unfurnished,5 to 10 years
54176287,69500000,Bhoslenagar Ashok Nagar,2581,3485,24,29,4,5,True,New Property,Semi-Furnished,New Construction
56176293,1500000,Ranjangaon,357,500,4,5,1,1,True,Resale,Unfurnished,Less than 5 years
73942109,9800000,Hinjewadi,932,1281,13,18,2,2,True,Resale,Semi-Furnished,Less than 5 years
75661407,4500000,Hadapsar,776,1078,5,9,2,2,True,Resale,Semi-Furnished,5 to 10 years
